"","date","count","package"
"390",2021-08-25,928,"palmerpenguins"
"391",2021-08-26,808,"palmerpenguins"
"392",2021-08-27,753,"palmerpenguins"
"393",2021-08-28,449,"palmerpenguins"
"394",2021-08-29,425,"palmerpenguins"
"395",2021-08-30,957,"palmerpenguins"
"396",2021-08-31,966,"palmerpenguins"
"397",2021-09-01,799,"palmerpenguins"
"398",2021-09-02,1113,"palmerpenguins"
"399",2021-09-03,828,"palmerpenguins"
"400",2021-09-04,535,"palmerpenguins"
"401",2021-09-05,564,"palmerpenguins"
"402",2021-09-06,1055,"palmerpenguins"
"403",2021-09-07,1029,"palmerpenguins"
"404",2021-09-08,1097,"palmerpenguins"
"405",2021-09-09,1537,"palmerpenguins"
"406",2021-09-10,1119,"palmerpenguins"
"407",2021-09-11,619,"palmerpenguins"
"408",2021-09-12,584,"palmerpenguins"
"409",2021-09-13,1815,"palmerpenguins"
"410",2021-09-14,1279,"palmerpenguins"
"411",2021-09-15,1169,"palmerpenguins"
"412",2021-09-16,1135,"palmerpenguins"
"413",2021-09-17,884,"palmerpenguins"
"414",2021-09-18,612,"palmerpenguins"
"415",2021-09-19,529,"palmerpenguins"
"416",2021-09-20,1152,"palmerpenguins"
"417",2021-09-21,1080,"palmerpenguins"
"418",2021-09-22,1110,"palmerpenguins"
"419",2021-09-23,1346,"palmerpenguins"
"420",2021-09-24,955,"palmerpenguins"
"421",2021-09-25,575,"palmerpenguins"
"422",2021-09-26,647,"palmerpenguins"
"423",2021-09-27,938,"palmerpenguins"
"424",2021-09-28,1058,"palmerpenguins"
"425",2021-09-29,1347,"palmerpenguins"
"426",2021-09-30,1258,"palmerpenguins"
"427",2021-10-01,974,"palmerpenguins"
"428",2021-10-02,530,"palmerpenguins"
"429",2021-10-03,532,"palmerpenguins"
"430",2021-10-04,1023,"palmerpenguins"
"431",2021-10-05,1268,"palmerpenguins"
"432",2021-10-06,1140,"palmerpenguins"
"433",2021-10-07,1111,"palmerpenguins"
"434",2021-10-08,1033,"palmerpenguins"
"435",2021-10-09,536,"palmerpenguins"
"436",2021-10-10,570,"palmerpenguins"
"437",2021-10-11,950,"palmerpenguins"
"438",2021-10-12,1056,"palmerpenguins"
"439",2021-10-13,1075,"palmerpenguins"
"440",2021-10-14,937,"palmerpenguins"
"441",2021-10-15,853,"palmerpenguins"
"442",2021-10-16,460,"palmerpenguins"
"443",2021-10-17,476,"palmerpenguins"
"444",2021-10-18,1045,"palmerpenguins"
"445",2021-10-19,1005,"palmerpenguins"
"446",2021-10-20,895,"palmerpenguins"
"447",2021-10-21,983,"palmerpenguins"
"448",2021-10-22,933,"palmerpenguins"
"449",2021-10-23,591,"palmerpenguins"
"450",2021-10-24,606,"palmerpenguins"
"451",2021-10-25,940,"palmerpenguins"
"452",2021-10-26,1239,"palmerpenguins"
"453",2021-10-27,1185,"palmerpenguins"
"454",2021-10-28,949,"palmerpenguins"
"455",2021-10-29,964,"palmerpenguins"
"456",2021-10-30,455,"palmerpenguins"
"457",2021-10-31,520,"palmerpenguins"
"458",2021-11-01,958,"palmerpenguins"
"459",2021-11-02,999,"palmerpenguins"
"460",2021-11-03,966,"palmerpenguins"
"461",2021-11-04,915,"palmerpenguins"
"462",2021-11-05,885,"palmerpenguins"
"463",2021-11-06,493,"palmerpenguins"
"464",2021-11-07,495,"palmerpenguins"
"465",2021-11-08,1181,"palmerpenguins"
"466",2021-11-09,1015,"palmerpenguins"
"467",2021-11-10,1370,"palmerpenguins"
"468",2021-11-11,1131,"palmerpenguins"
"469",2021-11-12,926,"palmerpenguins"
"470",2021-11-13,637,"palmerpenguins"
"471",2021-11-14,588,"palmerpenguins"
"472",2021-11-15,1184,"palmerpenguins"
"473",2021-11-16,1088,"palmerpenguins"
"474",2021-11-17,1107,"palmerpenguins"
"475",2021-11-18,987,"palmerpenguins"
"476",2021-11-19,910,"palmerpenguins"
"477",2021-11-20,518,"palmerpenguins"
"478",2021-11-21,572,"palmerpenguins"
"479",2021-11-22,930,"palmerpenguins"
"480",2021-11-23,1091,"palmerpenguins"
"481",2021-11-24,820,"palmerpenguins"
"482",2021-11-25,799,"palmerpenguins"
"483",2021-11-26,686,"palmerpenguins"
"484",2021-11-27,548,"palmerpenguins"
"485",2021-11-28,471,"palmerpenguins"
"486",2021-11-29,789,"palmerpenguins"
"487",2021-11-30,979,"palmerpenguins"
"488",2021-12-01,911,"palmerpenguins"
"489",2020-08-01,15,"distill"
"490",2020-08-02,20,"distill"
"491",2020-08-03,40,"distill"
"492",2020-08-04,76,"distill"
"493",2020-08-05,48,"distill"
"494",2020-08-06,50,"distill"
"495",2020-08-07,50,"distill"
"496",2020-08-08,40,"distill"
"497",2020-08-09,43,"distill"
"498",2020-08-10,59,"distill"
"499",2020-08-11,43,"distill"
"500",2020-08-12,50,"distill"
"501",2020-08-13,54,"distill"
"502",2020-08-14,46,"distill"
"503",2020-08-15,34,"distill"
"504",2020-08-16,35,"distill"
"505",2020-08-17,34,"distill"
"506",2020-08-18,59,"distill"
"507",2020-08-19,48,"distill"
"508",2020-08-20,63,"distill"
"509",2020-08-21,82,"distill"
"510",2020-08-22,43,"distill"
"511",2020-08-23,50,"distill"
"512",2020-08-24,121,"distill"
"513",2020-08-25,69,"distill"
"514",2020-08-26,71,"distill"
"515",2020-08-27,86,"distill"
"516",2020-08-28,50,"distill"
"517",2020-08-29,50,"distill"
"518",2020-08-30,27,"distill"
"519",2020-08-31,56,"distill"
"520",2020-09-01,49,"distill"
"521",2020-09-02,61,"distill"
"522",2020-09-03,58,"distill"
"523",2020-09-04,42,"distill"
"524",2020-09-05,41,"distill"
"525",2020-09-06,44,"distill"
"526",2020-09-07,53,"distill"
"527",2020-09-08,50,"distill"
"528",2020-09-09,72,"distill"
"529",2020-09-10,70,"distill"
"530",2020-09-11,73,"distill"
"531",2020-09-12,48,"distill"
"532",2020-09-13,40,"distill"
"533",2020-09-14,78,"distill"
"534",2020-09-15,87,"distill"
"535",2020-09-16,54,"distill"
"536",2020-09-17,71,"distill"
"537",2020-09-18,50,"distill"
"538",2020-09-19,41,"distill"
"539",2020-09-20,42,"distill"
"540",2020-09-21,68,"distill"
"541",2020-09-22,63,"distill"
"542",2020-09-23,66,"distill"
"543",2020-09-24,34,"distill"
"544",2020-09-25,43,"distill"
"545",2020-09-26,31,"distill"
"546",2020-09-27,31,"distill"
"547",2020-09-28,62,"distill"
"548",2020-09-29,50,"distill"
"549",2020-09-30,61,"distill"
"550",2020-10-01,43,"distill"
"551",2020-10-02,48,"distill"
"552",2020-10-03,40,"distill"
"553",2020-10-04,37,"distill"
"554",2020-10-05,62,"distill"
"555",2020-10-06,43,"distill"
"556",2020-10-07,52,"distill"
"557",2020-10-08,44,"distill"
"558",2020-10-09,54,"distill"
"559",2020-10-10,37,"distill"
"560",2020-10-11,50,"distill"
"561",2020-10-12,63,"distill"
"562",2020-10-13,71,"distill"
"563",2020-10-14,63,"distill"
"564",2020-10-15,91,"distill"
"565",2020-10-16,41,"distill"
"566",2020-10-17,37,"distill"
"567",2020-10-18,41,"distill"
"568",2020-10-19,48,"distill"
"569",2020-10-20,52,"distill"
"570",2020-10-21,56,"distill"
"571",2020-10-22,128,"distill"
"572",2020-10-23,106,"distill"
"573",2020-10-24,79,"distill"
"574",2020-10-25,90,"distill"
"575",2020-10-26,128,"distill"
"576",2020-10-27,133,"distill"
"577",2020-10-28,97,"distill"
"578",2020-10-29,135,"distill"
"579",2020-10-30,83,"distill"
"580",2020-10-31,51,"distill"
"581",2020-11-01,54,"distill"
"582",2020-11-02,82,"distill"
"583",2020-11-03,132,"distill"
"584",2020-11-04,49,"distill"
"585",2020-11-05,95,"distill"
"586",2020-11-06,67,"distill"
"587",2020-11-07,58,"distill"
"588",2020-11-08,41,"distill"
"589",2020-11-09,60,"distill"
"590",2020-11-10,47,"distill"
"591",2020-11-11,64,"distill"
"592",2020-11-12,67,"distill"
"593",2020-11-13,60,"distill"
"594",2020-11-14,32,"distill"
"595",2020-11-15,57,"distill"
"596",2020-11-16,61,"distill"
"597",2020-11-17,51,"distill"
"598",2020-11-18,84,"distill"
"599",2020-11-19,76,"distill"
"600",2020-11-20,69,"distill"
"601",2020-11-21,46,"distill"
"602",2020-11-22,52,"distill"
"603",2020-11-23,59,"distill"
"604",2020-11-24,56,"distill"
"605",2020-11-25,37,"distill"
"606",2020-11-26,73,"distill"
"607",2020-11-27,53,"distill"
"608",2020-11-28,36,"distill"
"609",2020-11-29,50,"distill"
"610",2020-11-30,205,"distill"
"611",2020-12-01,64,"distill"
"612",2020-12-02,101,"distill"
"613",2020-12-03,147,"distill"
"614",2020-12-04,110,"distill"
"615",2020-12-05,88,"distill"
"616",2020-12-06,56,"distill"
"617",2020-12-07,264,"distill"
"618",2020-12-08,299,"distill"
"619",2020-12-09,207,"distill"
"620",2020-12-10,162,"distill"
"621",2020-12-11,122,"distill"
"622",2020-12-12,106,"distill"
"623",2020-12-13,81,"distill"
"624",2020-12-14,171,"distill"
"625",2020-12-15,109,"distill"
"626",2020-12-16,100,"distill"
"627",2020-12-17,93,"distill"
"628",2020-12-18,94,"distill"
"629",2020-12-19,80,"distill"
"630",2020-12-20,76,"distill"
"631",2020-12-21,93,"distill"
"632",2020-12-22,103,"distill"
"633",2020-12-23,98,"distill"
"634",2020-12-24,53,"distill"
